,0,1,2
0,Genoa,Spezia,2 - 0
1,Parma,Crotone,3 - 4
2,Sassuolo,Sampdoria,1 - 0
3,Benevento,Udinese,2 - 4
4,Fiorentina,Juventus,1 - 1
5,Inter,Verona,1 - 0
6,Cagliari,Roma,3 - 2
7,Atalanta,Bologna,5 - 0
8,Torino,Napoli,0 - 2
9,Lazio,Milan,3 - 0
