,0,1,2
0,Udinese,Bologna,1 - 1
1,Spezia,Napoli,1 - 4
2,Inter,Sampdoria,5 - 1
3,Fiorentina,Lazio,2 - 0
4,Genoa,Sassuolo,1 - 2
5,Parma,Atalanta,2 - 5
6,Benevento,Cagliari,1 - 3
7,Verona,Torino,1 - 1
8,Roma,Crotone,5 - 0
9,Juventus,Milan,0 - 3
