,0,1,2
0,Crotone,Udinese,1 - 2
1,Sampdoria,Verona,3 - 1
2,Sassuolo,Fiorentina,3 - 1
3,Cagliari,Parma,4 - 3
4,Milan,Genoa,2 - 1
5,Lazio,Benevento,5 - 3
6,Atalanta,Juventus,1 - 0
7,Bologna,Spezia,4 - 1
8,Torino,Roma,3 - 1
9,Napoli,Inter,1 - 1
