,0,1,2
0,Napoli,Udinese,5 - 1
1,Cagliari,Fiorentina,0 - 0
2,Atalanta,Benevento,2 - 0
3,Bologna,Genoa,0 - 2
4,Sassuolo,Juventus,1 - 3
5,Torino,Milan,0 - 7
6,Lazio,Parma,1 - 0
7,Inter,Roma,3 - 1
8,Sampdoria,Spezia,2 - 2
9,Crotone,Verona,2 - 1
