,0,1,2
0,Sassuolo,Inter,0 - 3
1,Benevento,Juventus,1 - 1
2,Atalanta,Verona,0 - 2
3,Lazio,Udinese,1 - 3
4,Bologna,Crotone,1 - 0
5,Milan,Fiorentina,2 - 0
6,Cagliari,Spezia,2 - 2
7,Napoli,Roma,4 - 0
8,Torino,Sampdoria,2 - 2
9,Genoa,Parma,1 - 2
