,0,1,2
0,Sassuolo,Torino,3 - 3
1,Atalanta,Sampdoria,1 - 3
2,Genoa,Inter,0 - 2
3,Lazio,Bologna,2 - 1
4,Cagliari,Crotone,4 - 2
5,Benevento,Napoli,1 - 2
6,Parma,Spezia,2 - 2
7,Fiorentina,Udinese,3 - 2
8,Juventus,Verona,1 - 1
9,Milan,Roma,3 - 3
