,0,1,2
0,Lazio,Crotone,3 - 2
1,Atalanta,Spezia,3 - 1
2,Sassuolo,Verona,3 - 2
3,Benevento,Fiorentina,1 - 4
4,Genoa,Udinese,1 - 1
5,Bologna,Sampdoria,3 - 1
6,Torino,Inter,1 - 2
7,Parma,Roma,2 - 0
8,Cagliari,Juventus,1 - 3
9,Milan,Napoli,0 - 1
