,0,1,2
0,Fiorentina,Sampdoria,1 - 2
1,Sassuolo,Crotone,4 - 1
2,Udinese,Roma,0 - 1
3,Atalanta,Cagliari,5 - 2
4,Benevento,Bologna,1 - 0
5,Lazio,Inter,1 - 1
6,Parma,Verona,1 - 0
7,Milan,Spezia,3 - 0
8,Genoa,Torino,1 - 2
9,Juventus,Napoli,2 - 1
