,0,1,2
0,Sassuolo,Benevento,1 - 0
1,Crotone,Spezia,4 - 1
2,Torino,Udinese,2 - 3
3,Lazio,Verona,1 - 2
4,Cagliari,Inter,1 - 3
5,Atalanta,Fiorentina,3 - 0
6,Bologna,Roma,1 - 5
7,Napoli,Sampdoria,2 - 1
8,Genoa,Juventus,1 - 3
9,Milan,Parma,2 - 2
