,0,1,2
0,Crotone,Parma,2 - 1
1,Juventus,Fiorentina,0 - 3
2,Verona,Inter,1 - 2
3,Bologna,Atalanta,2 - 2
4,Milan,Lazio,3 - 2
5,Napoli,Torino,1 - 1
6,Roma,Cagliari,3 - 2
7,Sampdoria,Sassuolo,2 - 3
8,Spezia,Genoa,1 - 2
9,Udinese,Benevento,0 - 2
