,0,1,2
0,Fiorentina,Spezia,3 - 0
1,Cagliari,Torino,0 - 1
2,Lazio,Sampdoria,1 - 0
3,Genoa,Verona,2 - 2
4,Sassuolo,Bologna,1 - 1
5,Parma,Udinese,2 - 2
6,Milan,Inter,0 - 3
7,Atalanta,Napoli,4 - 2
8,Benevento,Roma,0 - 0
9,Juventus,Crotone,3 - 0
