,0,1,2
0,Atalanta,Brescia,6 - 2
1,Sampdoria,Cagliari,3 - 0
2,Bologna,Napoli,1 - 1
3,Milan,Parma,3 - 1
4,Lecce,Fiorentina,1 - 3
5,Roma,Verona,2 - 1
6,Sassuolo,Juventus,3 - 3
7,Udinese,Lazio,0 - 0
8,Torino,Genoa,3 - 0
9,Spal,Inter,0 - 4
