,0,1,2
0,Sampdoria,Juventus,1 - 2
1,Fiorentina,Roma,1 - 4
2,Udinese,Cagliari,2 - 1
3,Inter,Genoa,4 - 0
4,Torino,Spal,1 - 2
5,Atalanta,Milan,5 - 0
6,Lecce,Bologna,2 - 3
7,Parma,Brescia,1 - 1
8,Sassuolo,Napoli,1 - 2
9,Lazio,Verona,0 - 0
