,0,1,2
0,Bologna,Brescia,2 - 1
1,Cagliari,Parma,2 - 2
2,Sassuolo,Roma,4 - 2
3,Juventus,Fiorentina,3 - 0
4,Atalanta,Genoa,2 - 2
5,Milan,Verona,1 - 1
6,Lazio,Spal,5 - 1
7,Lecce,Torino,4 - 0
8,Udinese,Inter,0 - 2
9,Sampdoria,Napoli,2 - 4
