,0,1,2
0,Torino,Lazio,1 - 2
1,Genoa,Juventus,1 - 3
2,Inter,Brescia,6 - 0
3,Bologna,Cagliari,1 - 1
4,Spal,Milan,2 - 2
5,Verona,Parma,3 - 2
6,Lecce,Sampdoria,1 - 2
7,Fiorentina,Sassuolo,1 - 3
8,Atalanta,Napoli,2 - 0
9,Roma,Udinese,0 - 2
