,0,1,2
0,Roma,Bologna,2 - 3
1,Fiorentina,Atalanta,1 - 2
2,Torino,Sampdoria,1 - 3
3,Verona,Juventus,2 - 1
4,Spal,Sassuolo,1 - 2
5,Genoa,Cagliari,1 - 0
6,Napoli,Lecce,2 - 3
7,Brescia,Udinese,1 - 1
8,Parma,Lazio,0 - 1
9,Inter,Milan,4 - 2
