,0,1,2
0,Parma,Verona,0 - 1
1,Brescia,Inter,1 - 2
2,Napoli,Atalanta,2 - 2
3,Cagliari,Bologna,3 - 2
4,Juventus,Genoa,2 - 1
5,Lazio,Torino,4 - 0
6,Sampdoria,Lecce,1 - 1
7,Sassuolo,Fiorentina,1 - 2
8,Udinese,Roma,0 - 4
9,Milan,Spal,1 - 0
