,0,1,2
0,Brescia,Lecce,3 - 0
1,Napoli,Parma,1 - 2
2,Genoa,Sampdoria,0 - 1
3,Verona,Torino,3 - 3
4,Bologna,Atalanta,2 - 1
5,Juventus,Udinese,3 - 1
6,Milan,Sassuolo,0 - 0
7,Roma,Spal,3 - 1
8,Fiorentina,Inter,1 - 1
9,Cagliari,Lazio,1 - 2
