,0,1,2
0,Cagliari,Genoa,3 - 1
1,Udinese,Brescia,0 - 1
2,Juventus,Verona,2 - 1
3,Milan,Inter,0 - 2
4,Sassuolo,Spal,3 - 0
5,Bologna,Roma,1 - 2
6,Lecce,Napoli,1 - 4
7,Sampdoria,Torino,1 - 0
8,Atalanta,Fiorentina,2 - 2
9,Lazio,Parma,2 - 0
