,0,1,2
0,Brescia,Napoli,1 - 2
1,Bologna,Udinese,1 - 1
2,Spal,Juventus,1 - 2
3,Fiorentina,Milan,1 - 1
4,Genoa,Lazio,2 - 3
5,Roma,Lecce,4 - 0
6,Torino,Parma,1 - 1
7,Verona,Cagliari,2 - 1
8,Atalanta,Sassuolo,4 - 1
9,Inter,Sampdoria,2 - 1
