,0,1,2
0,Juventus,Spal,2 - 0
1,Sampdoria,Inter,1 - 3
2,Sassuolo,Atalanta,1 - 4
3,Napoli,Brescia,2 - 1
4,Lazio,Genoa,4 - 0
5,Lecce,Roma,0 - 1
6,Udinese,Bologna,1 - 0
7,Cagliari,Verona,1 - 1
8,Milan,Fiorentina,1 - 3
9,Parma,Torino,3 - 2
