,0,1,2
0,Verona,Udinese,0 - 0
1,Brescia,Juventus,1 - 2
2,Roma,Atalanta,0 - 2
3,Fiorentina,Sampdoria,2 - 1
4,Genoa,Bologna,0 - 0
5,Inter,Lazio,1 - 0
6,Napoli,Cagliari,0 - 1
7,Parma,Sassuolo,1 - 0
8,Spal,Lecce,1 - 3
9,Torino,Milan,2 - 1
