,0,1,2
0,Verona,Atalanta,1 - 1
1,Cagliari,Sassuolo,1 - 1
2,Milan,Bologna,5 - 1
3,Parma,Sampdoria,2 - 3
4,Genoa,Lecce,2 - 1
5,Brescia,Spal,2 - 1
6,Fiorentina,Torino,2 - 0
7,Napoli,Udinese,2 - 1
8,Roma,Inter,2 - 2
9,Juventus,Lazio,2 - 1
