,0,1,2,3,media_gol_fatti,varianza_gol_fatti,media_gol_subiti,varianza_gol_subiti
Milan,0.0,0.0,0.0,0.0,1.9,1.0711528467275955,1.05,1.2763022245616642
Frosinone,0.0,0.0,0.0,0.0,1.25,1.0699237552766379,1.95,1.2763022245616642
Lecce,0.0,0.0,0.0,0.0,1.0,0.7947194142390263,1.3,0.8645047258706176
Monza,0.0,0.0,0.0,0.0,1.0,1.025978352085154,1.25,1.292692009559488
Fiorentina,0.0,0.0,0.0,0.0,1.45,1.2763022245616642,1.05,0.998683343734455
Lazio,0.0,0.0,0.0,0.0,1.2,0.9514531821875087,1.0,0.9176629354822471
Salernitana,0.0,0.0,0.0,0.0,0.85,0.8127277008872492,2.0,1.025978352085154
Genoa,0.0,0.0,0.0,0.0,1.0,0.9733285267845752,1.2,0.9514531821875086
Verona,0.0,0.0,0.0,0.0,0.9,0.9119095061289916,1.35,1.0399898784932577
Juventus,0.0,0.0,0.0,0.0,1.6,0.8207826816681232,0.6,0.9403246919632543
Udinese,0.0,0.0,0.0,0.0,1.05,0.9445132413883327,1.6,1.3138933706635725
Atalanta,0.0,0.0,0.0,0.0,1.75,1.332784974957958,1.05,1.145931016569864
Inter,0.0,0.0,0.0,0.0,2.45,1.3168942730211068,0.5,0.6882472016116853
Torino,0.0,0.0,0.0,0.0,0.9,1.0711528467275955,0.9,1.1652874052533588
Cagliari,0.0,0.0,0.0,0.0,0.95,1.0500626547722611,1.65,1.089422831256605
Bologna,0.0,0.0,0.0,0.0,1.15,0.8750939799154207,0.9,0.9119095061289915
Roma,0.0,0.0,0.0,0.0,1.6,1.635140425323255,1.2,1.0563093645728083
Empoli,0.0,0.0,0.0,0.0,0.55,0.8255779474818966,1.75,1.7129537431920892
Napoli,0.0,0.0,0.0,0.0,1.5,1.3572417850765923,1.25,1.019545822516343
Sassuolo,0.0,0.0,0.0,0.0,1.3,1.260743306232687,1.8,0.8944271909999157
