,media_gol_fatti,varianza_gol_fatti,media_gol_subiti,varianza_gol_subiti
Milan,1.96,1.0198039027185573,1.24,1.3316656236958786
Frosinone,1.28,1.0614455552060436,2.08,1.351542328847553
Lecce,0.96,0.8888194417315589,1.56,1.003327796219494
Monza,1.0,1.1547005383792515,1.2,1.2909944487358054
Fiorentina,1.48,1.4177446878757827,1.16,0.9865765724632496
Lazio,1.24,0.969535971483266,1.04,0.9780933834080807
Salernitana,0.8,0.7637626158259733,2.04,1.098483803552272
Genoa,1.04,0.9345230512584125,1.24,1.0519822558706335
Verona,0.92,0.8621678104251707,1.36,0.9949874371066199
Juventus,1.52,0.9183318209303941,0.68,0.8999999999999998
Udinese,1.0,0.9128709291752769,1.52,1.2948616399703357
Atalanta,1.88,1.3638181696985854,1.08,1.222020185321557
Inter,2.52,1.357694123627753,0.48,0.7141428428542851
Torino,0.92,1.0376254944182253,0.88,1.0923979738782625
Cagliari,0.92,0.9539392014169454,1.84,1.1430952132988166
Bologna,1.48,1.1224972160321822,0.92,0.9092121131323903
Roma,1.8,1.5545631755148026,1.2,1.1547005383792512
Empoli,0.76,1.011599393699568,1.52,1.6103829772241554
Napoli,1.56,1.5832456116050555,1.16,0.9433981132056606
Sassuolo,1.2,1.190238071423808,2.04,1.274100990241093
