,0,1,2,3,media_gol_fatti,varianza_gol_fatti,media_gol_subiti,varianza_gol_subiti
Milan,0.0,0.0,0.0,0.0,1.9523809523809523,1.0712698295103096,1.0952380952380953,1.2611408289624877
Frosinone,0.0,0.0,0.0,0.0,1.3333333333333333,1.1105554165971787,1.9047619047619047,1.2611408289624877
Lecce,0.0,0.0,0.0,0.0,0.9523809523809523,0.8047478161629563,1.380952380952381,0.9206622874969127
Monza,0.0,0.0,0.0,0.0,0.9523809523809523,1.0235326314383177,1.3333333333333333,1.3165611772087666
Fiorentina,0.0,0.0,0.0,0.0,1.380952380952381,1.2835961388299078,1.0,1.0
Lazio,0.0,0.0,0.0,0.0,1.1428571428571428,0.9636241116594315,0.9523809523809523,0.9206622874969125
Salernitana,0.0,0.0,0.0,0.0,0.8571428571428571,0.7928249671720919,2.0,1.0
Genoa,0.0,0.0,0.0,0.0,1.0476190476190477,0.973457265430305,1.1904761904761905,0.9283882603225668
Verona,0.0,0.0,0.0,0.0,0.9047619047619048,0.8890872794479688,1.380952380952381,1.023532631438318
Juventus,0.0,0.0,0.0,0.0,1.6666666666666667,0.8563488385776753,0.5714285714285714,0.9258200997725518
Udinese,0.0,0.0,0.0,0.0,1.0952380952380953,0.9436504599035547,1.6666666666666667,1.3165611772087666
Atalanta,0.0,0.0,0.0,0.0,1.6666666666666667,1.35400640077266,1.0,1.140175425099138
Inter,0.0,0.0,0.0,0.0,2.3333333333333335,1.390443574307614,0.47619047619047616,0.6796357567879737
Torino,0.0,0.0,0.0,0.0,0.8571428571428571,1.0623424252901832,0.8571428571428571,1.1526367287968176
Cagliari,0.0,0.0,0.0,0.0,0.9523809523809523,1.0235326314383177,1.7142857142857142,1.1019463300386796
Bologna,0.0,0.0,0.0,0.0,1.0952380952380953,0.8890872794479688,0.8571428571428571,0.9102589898327995
Roma,0.0,0.0,0.0,0.0,1.619047619047619,1.5961262630566069,1.1904761904761905,1.030487633067356
Empoli,0.0,0.0,0.0,0.0,0.6666666666666666,0.9660917830792959,1.6666666666666667,1.7126976771553506
Napoli,0.0,0.0,0.0,0.0,1.4285714285714286,1.3627702877384937,1.1904761904761905,1.0304876330673562
Sassuolo,0.0,0.0,0.0,0.0,1.2380952380952381,1.2611408289624877,1.7142857142857142,0.9561828874675147
