,0,1,2,3,media_gol_fatti,varianza_gol_fatti,media_gol_subiti,varianza_gol_subiti
Milan,0.0,0.0,0.0,0.0,1.8125,1.1086778913041726,1.125,1.3601470508735443
Frosinone,0.0,0.0,0.0,0.0,1.3125,1.138346754435279,1.625,1.0878112581387147
Lecce,0.0,0.0,0.0,0.0,1.1875,0.75,1.3125,0.9464847243000456
Monza,0.0,0.0,0.0,0.0,1.0,0.9660917830792959,1.0625,0.9979144919948469
Fiorentina,0.0,0.0,0.0,0.0,1.5625,1.3647344063956182,1.125,1.02469507659596
Lazio,0.0,0.0,0.0,0.0,1.0,0.8944271909999159,1.125,0.9574271077563381
Salernitana,0.0,0.0,0.0,0.0,0.75,0.8563488385776752,2.125,1.02469507659596
Genoa,0.0,0.0,0.0,0.0,1.0,1.0327955589886444,1.3125,1.0144785195688801
Verona,0.0,0.0,0.0,0.0,0.8125,0.9105858919765157,1.4375,1.0935416468216166
Juventus,0.0,0.0,0.0,0.0,1.5,0.816496580927726,0.625,1.02469507659596
Udinese,0.0,0.0,0.0,0.0,0.875,0.8850612031567836,1.6875,1.40089257261219
Atalanta,0.0,0.0,0.0,0.0,1.75,1.1254628677422756,1.1875,1.2230426539304888
Inter,0.0,0.0,0.0,0.0,2.4375,1.2632629707758134,0.4375,0.7274384280931732
Torino,0.0,0.0,0.0,0.0,0.875,1.02469507659596,1.0,1.2649110640673518
Cagliari,0.0,0.0,0.0,0.0,1.0,1.0954451150103321,1.8125,1.1086778913041726
Bologna,0.0,0.0,0.0,0.0,1.25,0.9309493362512627,0.75,0.7745966692414834
Roma,0.0,0.0,0.0,0.0,1.75,1.7701224063135672,1.1875,1.0468205831628137
Empoli,0.0,0.0,0.0,0.0,0.625,0.8850612031567836,1.75,1.8439088914585775
Napoli,0.0,0.0,0.0,0.0,1.75,1.3416407864998738,1.1875,0.9810708435174292
Sassuolo,0.0,0.0,0.0,0.0,1.5,1.3165611772087666,1.875,0.806225774829855
