,media_gol_fatti,varianza_gol_fatti,media_gol_subiti,varianza_gol_subiti
Milan,1.9230769230769231,1.016782254883588,1.2307692307692308,1.3056092005709
Frosinone,1.3076923076923077,1.049542024665264,2.1153846153846154,1.3364706678987932
Lecce,0.9230769230769231,0.8909804452658623,1.6538461538461537,1.0933364602832083
Monza,1.0384615384615385,1.1482428046635165,1.1538461538461537,1.2866175093572352
Fiorentina,1.5,1.3928388277184118,1.0769230769230769,0.9766504768063926
Lazio,1.1538461538461537,0.9671528397231822,1.0769230769230769,0.9766504768063926
Salernitana,0.7692307692307693,0.7646014547562573,2.0384615384615383,1.076318511622623
Genoa,1.0769230769230769,0.9347973865208193,1.1923076923076923,1.0590271297461937
Verona,0.8846153846153846,0.8638019716079873,1.3846153846153846,0.9829312519977406
Juventus,1.5769230769230769,0.9454343731037887,0.7307692307692307,0.9190295885418405
Udinese,0.9615384615384616,0.9156754547663373,1.5384615384615385,1.2721876978109554
Atalanta,1.8461538461538463,1.3473620951268501,0.9230769230769231,1.0553891006856921
Inter,2.423076923076923,1.4191004734852828,0.46153846153846156,0.7060180864974626
Torino,0.9615384615384616,1.0384900280992295,0.8846153846153846,1.1428708790383306
Cagliari,0.9230769230769231,0.9347973865208193,1.8076923076923077,1.132050556087696
Bologna,1.4230769230769231,1.1374735838014673,0.8846153846153846,0.9089300556994725
Roma,1.8461538461538463,1.5412282813991627,1.2307692307692308,1.1421976118935744
Empoli,0.8461538461538461,1.0841515647660225,1.5384615384615385,1.580652250958932
Napoli,1.3076923076923077,1.2890067732709793,1.1153846153846154,0.9519211344191526
Sassuolo,1.1923076923076923,1.2006408545183118,1.8461538461538463,1.0466062370273812
