,0,1,2,3,media_gol_fatti,varianza_gol_fatti,media_gol_subiti,varianza_gol_subiti
Milan,0.0,0.0,0.0,0.0,1.7777777777777777,1.2018504251546631,1.0,1.5811388300841898
Frosinone,0.0,0.0,0.0,0.0,1.3333333333333333,1.2247448713915892,1.4444444444444444,0.881917103688197
Lecce,0.0,0.0,0.0,0.0,1.1111111111111112,0.7817359599705717,1.2222222222222223,1.2018504251546631
Monza,0.0,0.0,0.0,0.0,0.8888888888888888,1.0540925533894598,0.8888888888888888,1.0540925533894598
Fiorentina,0.0,0.0,0.0,0.0,2.0,1.4142135623730951,1.4444444444444444,1.2360330811826103
Lazio,0.0,0.0,0.0,0.0,1.3333333333333333,1.0,1.3333333333333333,1.0
Salernitana,0.0,0.0,0.0,0.0,0.6666666666666666,0.8660254037844388,2.111111111111111,1.0540925533894598
Genoa,0.0,0.0,0.0,0.0,1.1111111111111112,1.3642254619787417,1.5555555555555556,1.1303883305208784
Verona,0.0,0.0,0.0,0.0,0.6666666666666666,0.7071067811865476,1.2222222222222223,1.2018504251546631
Juventus,0.0,0.0,0.0,0.0,1.6666666666666667,1.0,0.6666666666666666,1.3228756555322954
Udinese,0.0,0.0,0.0,0.0,0.5555555555555556,0.7264831572567789,1.4444444444444444,1.4240006242195886
Atalanta,0.0,0.0,0.0,0.0,1.6666666666666667,0.8660254037844386,0.8888888888888888,1.3642254619787417
Inter,0.0,0.0,0.0,0.0,2.6666666666666665,1.4142135623730951,0.5555555555555556,0.881917103688197
Torino,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,1.3333333333333333,1.5
Cagliari,0.0,0.0,0.0,0.0,0.5555555555555556,0.7264831572567789,2.0,1.3228756555322954
Bologna,0.0,0.0,0.0,0.0,1.1111111111111112,1.1666666666666667,0.7777777777777778,0.8333333333333334
Roma,0.0,0.0,0.0,0.0,2.2222222222222223,2.048034287907418,1.3333333333333333,1.3228756555322954
Empoli,0.0,0.0,0.0,0.0,0.3333333333333333,0.7071067811865476,1.7777777777777777,2.223610677354389
Napoli,0.0,0.0,0.0,0.0,2.2222222222222223,1.3944333775567928,1.1111111111111112,1.0540925533894598
Sassuolo,0.0,0.0,0.0,0.0,1.3333333333333333,1.5000000000000002,1.7777777777777777,0.9718253158075502
