,media_gol_fatti,varianza_gol_fatti,media_gol_subiti,varianza_gol_subiti
Milan,1.9,0.9948141396330237,1.1333333333333333,1.252124631158585
Frosinone,1.2666666666666666,1.0148325268098497,2.033333333333333,1.2994251602637363
Lecce,0.8666666666666667,0.8603661343041527,1.5,1.106407669457548
Monza,1.0666666666666667,1.142692927446732,1.2333333333333334,1.3308885632599343
Fiorentina,1.4,1.3544307876819286,1.1333333333333333,0.9732042112432564
Lazio,1.2333333333333334,0.9714309861845773,1.1,0.959525744924238
Salernitana,0.7666666666666667,0.773854362727667,2.066666666666667,1.1121068335350712
Genoa,1.0666666666666667,0.9071871393197365,1.2333333333333334,1.0726484571581119
Verona,0.9,0.8030115728972385,1.3333333333333333,1.0283342182227604
Juventus,1.4666666666666666,0.9732042112432566,0.8,0.924755326447544
Udinese,0.9666666666666667,0.889917986664224,1.5,1.1962585350828727
Atalanta,1.8,1.3235271579877137,1.0666666666666667,1.1724814044061258
Inter,2.433333333333333,1.3308885632599343,0.4666666666666667,0.68144538746106
Torino,0.9666666666666667,0.99942512211403,0.8666666666666667,1.1058881072455413
Cagliari,1.0,1.0504514628777804,1.7,1.118804780974337
Bologna,1.5,1.106407669457548,0.8333333333333334,0.8742813140471171
Roma,1.8333333333333333,1.5331584108120329,1.1666666666666667,1.1167481527997303
Empoli,0.7333333333333333,1.048260737942924,1.5,1.4797483476638158
Napoli,1.4666666666666666,1.4793599112881346,1.2,0.9247553264475438
Sassuolo,1.1333333333333333,1.1366415543118709,1.9,1.268993627874548
