,media_gol_fatti,varianza_gol_fatti,media_gol_subiti,varianza_gol_subiti
Milan,2.0,0.0,0.0,0.0
Frosinone,1.0,0.0,3.0,0.0
Lecce,2.0,0.0,1.0,0.0
Monza,0.0,0.0,2.0,0.0
Fiorentina,4.0,0.0,1.0,0.0
Lazio,1.0,0.0,2.0,0.0
Salernitana,2.0,0.0,2.0,0.0
Genoa,1.0,0.0,4.0,0.0
Verona,1.0,0.0,0.0,0.0
Juventus,3.0,0.0,0.0,0.0
Udinese,0.0,0.0,3.0,0.0
Atalanta,2.0,0.0,0.0,0.0
Inter,2.0,0.0,0.0,0.0
Torino,0.0,0.0,0.0,0.0
Cagliari,0.0,0.0,0.0,0.0
Bologna,0.0,0.0,2.0,0.0
Roma,2.0,0.0,2.0,0.0
Empoli,0.0,0.0,1.0,0.0
Napoli,3.0,0.0,1.0,0.0
Sassuolo,0.0,0.0,2.0,0.0
