Squadra,Diff,Gf,Gs,N,P,Posizione,Punti,V
Inter,19.0,24.0,5.0,1.0,1.0,1,22.0,7.0
Milan,7.0,16.0,9.0,0.0,2.0,2,21.0,7.0
Juventus,9.0,15.0,6.0,2.0,1.0,3,20.0,6.0
Napoli,10.0,20.0,10.0,2.0,2.0,4,17.0,5.0
Fiorentina,5.0,18.0,13.0,2.0,2.0,5,17.0,5.0
Atalanta,7.0,15.0,8.0,1.0,3.0,6,16.0,5.0
Roma,8.0,20.0,12.0,2.0,3.0,7,14.0,4.0
Bologna,3.0,10.0,7.0,5.0,1.0,8,14.0,3.0
Lazio,0.0,12.0,12.0,1.0,4.0,9,13.0,4.0
Lecce,-1.0,10.0,11.0,4.0,2.0,10,13.0,3.0
Monza,0.0,8.0,8.0,3.0,3.0,11,12.0,3.0
Frosinone,-1.0,12.0,13.0,3.0,3.0,12,12.0,3.0
Sassuolo,-4.0,12.0,16.0,1.0,5.0,13,10.0,3.0
Torino,-6.0,6.0,12.0,3.0,4.0,14,9.0,2.0
Genoa,-4.0,10.0,14.0,2.0,5.0,15,8.0,2.0
Verona,-5.0,6.0,11.0,2.0,5.0,16,8.0,2.0
Empoli,-13.0,3.0,16.0,1.0,6.0,17,7.0,2.0
Udinese,-8.0,5.0,13.0,6.0,3.0,18,6.0,0.0
Salernitana,-13.0,6.0,19.0,4.0,5.0,19,4.0,0.0
Cagliari,-13.0,5.0,18.0,3.0,6.0,20,3.0,0.0
