Squadra,Diff,Gf,Gs,N,P,Posizione,Punti,V
Inter,8.0,8.0,0.0,0.0,0.0,1,9.0,3.0
Milan,6.0,8.0,2.0,0.0,0.0,2,9.0,3.0
Juventus,5.0,6.0,1.0,1.0,0.0,3,7.0,2.0
Lecce,3.0,6.0,3.0,1.0,0.0,4,7.0,2.0
Atalanta,4.0,6.0,2.0,0.0,1.0,5,6.0,2.0
Napoli,3.0,6.0,3.0,0.0,1.0,6,6.0,2.0
Verona,0.0,4.0,4.0,0.0,1.0,7,6.0,2.0
Fiorentina,-1.0,6.0,7.0,1.0,1.0,8,4.0,1.0
Bologna,-1.0,3.0,4.0,1.0,1.0,9,4.0,1.0
Frosinone,-1.0,3.0,4.0,1.0,1.0,10,4.0,1.0
Torino,-2.0,2.0,4.0,1.0,1.0,11,4.0,1.0
Lazio,-1.0,3.0,4.0,0.0,2.0,12,3.0,1.0
Sassuolo,-2.0,3.0,5.0,0.0,2.0,13,3.0,1.0
Genoa,-3.0,2.0,5.0,0.0,2.0,14,3.0,1.0
Monza,-3.0,2.0,5.0,0.0,2.0,15,3.0,1.0
Salernitana,-2.0,3.0,5.0,2.0,1.0,16,2.0,0.0
Udinese,-3.0,1.0,4.0,2.0,1.0,17,2.0,0.0
Roma,-2.0,4.0,6.0,1.0,2.0,18,1.0,0.0
Cagliari,-3.0,1.0,4.0,1.0,2.0,19,1.0,0.0
Empoli,-5.0,0.0,5.0,0.0,3.0,20,0.0,0.0
