Squadra,Diff,Gf,Gs,N,P,Posizione,Punti,V
Milan,5.0,6.0,1.0,0.0,0.0,1,6.0,2.0
Napoli,4.0,5.0,1.0,0.0,0.0,2,6.0,2.0
Inter,4.0,4.0,0.0,0.0,0.0,3,6.0,2.0
Verona,2.0,3.0,1.0,0.0,0.0,4,6.0,2.0
Fiorentina,3.0,6.0,3.0,1.0,0.0,5,4.0,1.0
Juventus,3.0,4.0,1.0,1.0,0.0,6,4.0,1.0
Lecce,1.0,4.0,3.0,1.0,0.0,7,4.0,1.0
Atalanta,1.0,3.0,2.0,0.0,1.0,8,3.0,1.0
Monza,0.0,2.0,2.0,0.0,1.0,9,3.0,1.0
Frosinone,-1.0,3.0,4.0,0.0,1.0,10,3.0,1.0
Genoa,-2.0,2.0,4.0,0.0,1.0,11,3.0,1.0
Salernitana,0.0,3.0,3.0,2.0,0.0,12,2.0,0.0
Roma,-1.0,3.0,4.0,1.0,1.0,13,1.0,0.0
Bologna,-2.0,1.0,3.0,1.0,1.0,14,1.0,0.0
Cagliari,-2.0,0.0,2.0,1.0,1.0,15,1.0,0.0
Torino,-3.0,1.0,4.0,1.0,1.0,16,1.0,0.0
Udinese,-3.0,1.0,4.0,1.0,1.0,17,1.0,0.0
Lazio,-2.0,1.0,3.0,0.0,2.0,18,0.0,0.0
Empoli,-3.0,0.0,3.0,0.0,2.0,19,0.0,0.0
Sassuolo,-4.0,0.0,4.0,0.0,2.0,20,0.0,0.0
