Squadra,Diff,Gf,Gs,N,P,Posizione,Punti,V
Inter,34.0,41.0,7.0,2.0,1.0,1,44.0,14.0
Juventus,15.0,26.0,11.0,4.0,1.0,2,40.0,12.0
Milan,11.0,31.0,20.0,3.0,4.0,3,33.0,10.0
Bologna,9.0,21.0,12.0,7.0,2.0,4,31.0,8.0
Fiorentina,8.0,26.0,18.0,3.0,5.0,5,30.0,9.0
Roma,11.0,30.0,19.0,4.0,5.0,6,28.0,8.0
Napoli,7.0,28.0,21.0,3.0,6.0,7,27.0,8.0
Atalanta,8.0,28.0,20.0,2.0,7.0,8,26.0,8.0
Lazio,0.0,18.0,18.0,3.0,7.0,9,24.0,7.0
Torino,-2.0,15.0,17.0,6.0,5.0,10,24.0,6.0
Monza,-2.0,16.0,18.0,6.0,6.0,11,21.0,5.0
Lecce,-4.0,19.0,23.0,8.0,5.0,12,20.0,4.0
Genoa,-4.0,18.0,22.0,4.0,8.0,13,19.0,5.0
Frosinone,-6.0,22.0,28.0,4.0,8.0,14,19.0,5.0
Sassuolo,-7.0,25.0,32.0,4.0,9.0,15,16.0,4.0
Verona,-8.0,15.0,23.0,5.0,9.0,16,14.0,3.0
Udinese,-13.0,15.0,28.0,11.0,5.0,17,14.0,1.0
Cagliari,-15.0,16.0,31.0,4.0,10.0,18,13.0,3.0
Empoli,-20.0,10.0,30.0,3.0,11.0,19,12.0,3.0
Salernitana,-22.0,14.0,36.0,6.0,10.0,20,9.0,1.0
