Squadra,Diff,Gf,Gs,N,P,Posizione,Punti,V
Inter,34.0,42.0,8.0,3.0,1.0,1,45.0,14.0
Juventus,16.0,27.0,11.0,4.0,1.0,2,43.0,13.0
Milan,12.0,32.0,20.0,3.0,4.0,3,36.0,11.0
Fiorentina,9.0,27.0,18.0,3.0,5.0,4,33.0,10.0
Bologna,6.0,21.0,15.0,7.0,3.0,5,31.0,8.0
Atalanta,9.0,29.0,20.0,2.0,7.0,6,29.0,9.0
Roma,10.0,30.0,20.0,4.0,6.0,7,28.0,8.0
Napoli,7.0,28.0,21.0,4.0,6.0,8,28.0,8.0
Lazio,2.0,21.0,19.0,3.0,7.0,9,27.0,8.0
Torino,-3.0,15.0,18.0,6.0,6.0,10,24.0,6.0
Monza,-2.0,16.0,18.0,7.0,6.0,11,22.0,5.0
Genoa,-4.0,19.0,23.0,5.0,8.0,12,20.0,5.0
Lecce,-5.0,19.0,24.0,8.0,6.0,13,20.0,4.0
Frosinone,-8.0,23.0,31.0,4.0,9.0,14,19.0,5.0
Udinese,-10.0,18.0,28.0,11.0,5.0,15,17.0,2.0
Sassuolo,-8.0,25.0,33.0,4.0,10.0,16,16.0,4.0
Verona,-9.0,15.0,24.0,5.0,10.0,17,14.0,3.0
Cagliari,-15.0,16.0,31.0,5.0,10.0,18,14.0,3.0
Empoli,-20.0,10.0,30.0,4.0,11.0,19,13.0,3.0
Salernitana,-21.0,15.0,36.0,6.0,10.0,20,12.0,2.0
