Partita,O,U
Napoli-Torino,0.20982551614360867,0.7901744838563913
Cagliari-Salernitana,0.5428266273426872,0.4571733726573129
Sassuolo-Frosinone,0.5796849855113597,0.4203150144886402
Bologna-Inter,0.2674315395280359,0.7325684604719641
Genoa-Monza,0.2646702075057894,0.7353297924942106
Lecce-Verona,0.29697230574165767,0.7030276942583423
Milan-Empoli,0.4142000807159868,0.5857999192840132
Juventus-Atalanta,0.406706061656522,0.593293938343478
Fiorentina-Roma,0.2639548674410134,0.7360451325589866
Lazio-Udinese,0.32173769401391783,0.6782623059860822
