Partita,GG,NG
Napoli-Torino,0.5355450236966824,0.46445497630331756
Cagliari-Salernitana,0.5355450236966824,0.46445497630331756
Sassuolo-Frosinone,0.5687203791469194,0.4312796208530806
Bologna-Inter,0.5355450236966824,0.46445497630331756
Genoa-Monza,0.5639810426540285,0.43601895734597157
Lecce-Verona,0.5876777251184834,0.41232227488151657
Milan-Empoli,0.4834123222748815,0.5165876777251185
Juventus-Atalanta,0.5592417061611374,0.44075829383886256
Fiorentina-Roma,0.5829383886255924,0.41706161137440756
Lazio-Udinese,0.5639810426540285,0.43601895734597157
