,squadra,esito
0,Udinese,pareggio
1,Spezia,sconfitta
2,Inter,vittoria
3,Fiorentina,vittoria
4,Genoa,sconfitta
5,Parma,sconfitta
6,Benevento,sconfitta
7,Verona,pareggio
8,Roma,vittoria
9,Juventus,sconfitta
10,Bologna,pareggio
11,Napoli,vittoria
12,Sampdoria,sconfitta
13,Lazio,sconfitta
14,Sassuolo,vittoria
15,Atalanta,vittoria
16,Cagliari,vittoria
17,Torino,pareggio
18,Crotone,sconfitta
19,Milan,vittoria
