,squadra,esito
0,Benevento,pareggio
1,Roma,vittoria
2,Milan,sconfitta
3,Udinese,pareggio
4,Fiorentina,vittoria
5,Juventus,vittoria
6,Genoa,vittoria
7,Verona,vittoria
8,Lazio,vittoria
9,Parma,sconfitta
10,Torino,pareggio
11,Spezia,sconfitta
12,Atalanta,vittoria
13,Inter,pareggio
14,Crotone,sconfitta
15,Bologna,sconfitta
16,Cagliari,sconfitta
17,Napoli,sconfitta
18,Sassuolo,sconfitta
19,Sampdoria,vittoria
