,squadra,esito
0,Verona,sconfitta
1,Milan,sconfitta
2,Genoa,pareggio
3,Udinese,sconfitta
4,Spezia,pareggio
5,Juventus,vittoria
6,Crotone,sconfitta
7,Bologna,pareggio
8,Roma,pareggio
9,Napoli,vittoria
10,Fiorentina,vittoria
11,Sassuolo,vittoria
12,Benevento,pareggio
13,Cagliari,vittoria
14,Inter,pareggio
15,Parma,sconfitta
16,Sampdoria,vittoria
17,Torino,pareggio
18,Atalanta,pareggio
19,Lazio,sconfitta
