Partita,GG,NG
Fiorentina-Napoli,0.5545023696682464,0.44549763033175355
Lecce-Atalanta,0.5829383886255924,0.41706161137440756
Torino-Milan,0.5497630331753555,0.45023696682464454
Sassuolo-Cagliari,0.5450236966824644,0.4549763033175355
Monza-Frosinone,0.5592417061611374,0.44075829383886256
Udinese-Empoli,0.5308056872037915,0.46919431279620855
Inter-Lazio,0.5355450236966824,0.46445497630331756
Roma-Genoa,0.5165876777251185,0.4834123222748815
Salernitana-Verona,0.5402843601895735,0.4597156398104265
Bologna-Juventus,0.5308056872037915,0.46919431279620855
