Partita,0,1,2,3,4
Fiorentina-Napoli,0.29897998023169936,0.33851665650053375,0.31296162289519736,0.03675765552211613,0.01278408485045334
Lecce-Atalanta,0.6624131098624783,0.22343071288482144,0.07572245478870264,0.031681426983408506,0.006752295480589217
Torino-Milan,0.793082095880476,0.09837632416615608,0.07915809210172897,0.023801764302214326,0.005581723549424679
Sassuolo-Cagliari,0.42624715480555997,0.3522129526948749,0.175894629122915,0.03457937300393549,0.0110658903727145
Monza-Frosinone,0.4942355311117694,0.31735328975709615,0.12916251328270006,0.040323683317780384,0.018924982530654017
Udinese-Empoli,0.598124986425864,0.2561612308838492,0.11881516379252122,0.018783940647020627,0.008114678250744948
Inter-Lazio,0.4597771936058251,0.21214063864557392,0.17362935384229697,0.12812095790717912,0.026331855999124944
Roma-Genoa,0.4567106064422908,0.20453653799585908,0.208932199026114,0.09886133891785935,0.030959317617876653
Salernitana-Verona,0.4046439632800711,0.35101009785433723,0.2254543148379204,0.011053262547794651,0.007838361479876788
Bologna-Juventus,0.6758857180264438,0.13051903522264685,0.14466223113131485,0.035309069873875394,0.013623945745719243
