Partita,O,U
Fiorentina-Napoli,0.3984061172166963,0.6015938827833037
Lecce-Atalanta,0.38512503054810643,0.6148749694518936
Torino-Milan,0.37892102814743733,0.6210789718525627
Sassuolo-Cagliari,0.49802784047399407,0.5019721595260059
Monza-Frosinone,0.5386673679141372,0.4613326320858629
Udinese-Empoli,0.3150752795679672,0.6849247204320328
Inter-Lazio,0.39551926815254346,0.6044807318474565
Roma-Genoa,0.39010545193196755,0.6098945480680324
Salernitana-Verona,0.45333830672861797,0.546661693271382
Bologna-Juventus,0.22226595599813803,0.777734044001862
