,squadra_casa,squadra_trasferta,risultato
0,Spezia,Benevento,1 - 1
1,Udinese,Sassuolo,2 - 0
2,Juventus,Lazio,3 - 1
3,Roma,Genoa,1 - 0
4,Verona,Milan,0 - 2
5,Fiorentina,Parma,3 - 3
6,Crotone,Torino,4 - 2
7,Sampdoria,Cagliari,2 - 2
8,Napoli,Bologna,3 - 1
9,Inter,Atalanta,0 - 0
