,squadra_casa,squadra_trasferta,risultato
0,Verona,Fiorentina,1 - 2
1,Milan,Sassuolo,1 - 2
2,Genoa,Benevento,2 - 2
3,Udinese,Cagliari,0 - 1
4,Spezia,Inter,1 - 1
5,Juventus,Parma,3 - 1
6,Crotone,Sampdoria,0 - 1
7,Bologna,Torino,1 - 1
8,Roma,Atalanta,1 - 1
9,Napoli,Lazio,5 - 2
