,squadra_casa,squadra_trasferta,risultato
0,Crotone,Fiorentina,0 - 0
1,Cagliari,Genoa,0 - 1
2,Sampdoria,Parma,3 - 0
3,Inter,Udinese,5 - 1
4,Torino,Benevento,1 - 1
5,Bologna,Juventus,1 - 4
6,Sassuolo,Lazio,2 - 0
7,Atalanta,Milan,0 - 2
8,Spezia,Roma,2 - 2
9,Napoli,Verona,1 - 1
