,squadra_casa,squadra_trasferta,risultato
0,Juventus,Spezia,3 - 0
1,Sassuolo,Napoli,3 - 3
2,Cagliari,Bologna,1 - 0
3,Atalanta,Crotone,5 - 1
4,Fiorentina,Roma,1 - 2
5,Genoa,Sampdoria,1 - 1
6,Milan,Udinese,1 - 1
7,Benevento,Verona,0 - 3
8,Parma,Inter,1 - 2
9,Lazio,Torino,0 - 0
