,squadra_casa,squadra_trasferta,risultato
0,Sassuolo,Udinese,0 - 0
1,Cagliari,Sampdoria,2 - 0
2,Benevento,Spezia,0 - 3
3,Parma,Fiorentina,0 - 0
4,Lazio,Juventus,1 - 1
5,Atalanta,Inter,1 - 1
6,Genoa,Roma,1 - 3
7,Torino,Crotone,0 - 0
8,Bologna,Napoli,0 - 1
9,Milan,Verona,2 - 2
