,squadra_casa,squadra_trasferta,risultato
0,Benevento,Atalanta,1 - 4
1,Genoa,Bologna,2 - 0
2,Milan,Torino,2 - 0
3,Roma,Inter,2 - 2
4,Parma,Lazio,0 - 2
5,Udinese,Napoli,1 - 2
6,Verona,Crotone,2 - 1
7,Fiorentina,Cagliari,1 - 0
8,Juventus,Sassuolo,3 - 1
9,Spezia,Sampdoria,2 - 1
