,squadra_casa,squadra_trasferta,risultato
0,Spezia,Lazio,1 - 2
1,Juventus,Torino,2 - 1
2,Inter,Bologna,3 - 1
3,Verona,Cagliari,1 - 1
4,Parma,Benevento,0 - 0
5,Roma,Sassuolo,0 - 0
6,Crotone,Napoli,0 - 4
7,Sampdoria,Milan,1 - 2
8,Fiorentina,Genoa,1 - 1
9,Udinese,Atalanta,1 - 1
