,squadra_casa,squadra_trasferta,risultato
0,Inter,Crotone,6 - 2
1,Atalanta,Sassuolo,5 - 1
2,Cagliari,Napoli,1 - 4
3,Fiorentina,Bologna,0 - 0
4,Genoa,Lazio,1 - 1
5,Parma,Torino,0 - 3
6,Roma,Sampdoria,1 - 0
7,Spezia,Verona,0 - 1
8,Benevento,Milan,0 - 2
9,Juventus,Udinese,4 - 1
