,squadra_casa,squadra_trasferta,risultato
0,Benevento,Torino,2 - 2
1,Roma,Spezia,4 - 3
2,Milan,Atalanta,0 - 3
3,Udinese,Inter,0 - 0
4,Fiorentina,Crotone,2 - 1
5,Juventus,Bologna,2 - 0
6,Genoa,Cagliari,1 - 0
7,Verona,Napoli,3 - 1
8,Lazio,Sassuolo,2 - 1
9,Parma,Sampdoria,0 - 2
