,squadra_casa,squadra_trasferta,risultato
0,Spezia,Crotone,3 - 2
1,Parma,Milan,1 - 3
2,Udinese,Torino,0 - 1
3,Inter,Cagliari,1 - 0
4,Juventus,Genoa,3 - 1
5,Verona,Lazio,0 - 1
6,Sampdoria,Napoli,0 - 2
7,Roma,Bologna,1 - 0
8,Fiorentina,Atalanta,2 - 3
9,Benevento,Sassuolo,0 - 1
