,squadra_casa,squadra_trasferta,risultato
0,Fiorentina,Torino,1 - 0
1,Verona,Roma,3 - 0
2,Parma,Napoli,0 - 2
3,Genoa,Crotone,4 - 1
4,Sassuolo,Cagliari,1 - 1
5,Juventus,Sampdoria,3 - 0
6,Milan,Bologna,2 - 0
7,Benevento,Inter,2 - 5
8,Udinese,Spezia,0 - 2
9,Lazio,Atalanta,1 - 4
