,squadra_casa,squadra_trasferta,risultato
0,Crotone,Lazio,0 - 2
1,Spezia,Atalanta,0 - 0
2,Juventus,Cagliari,2 - 0
3,Fiorentina,Benevento,0 - 1
4,Inter,Torino,4 - 2
5,Roma,Parma,3 - 0
6,Sampdoria,Bologna,1 - 2
7,Verona,Sassuolo,0 - 2
8,Udinese,Genoa,1 - 0
9,Napoli,Milan,1 - 3
