,squadra_casa,squadra_trasferta,risultato
0,Parma,Genoa,1 - 2
1,Crotone,Bologna,2 - 3
2,Spezia,Cagliari,2 - 1
3,Verona,Atalanta,0 - 2
4,Juventus,Benevento,0 - 1
5,Udinese,Lazio,0 - 1
6,Sampdoria,Torino,1 - 0
7,Fiorentina,Milan,2 - 3
8,Roma,Napoli,0 - 2
9,Inter,Sassuolo,2 - 1
