,squadra_casa,squadra_trasferta,risultato
0,Bologna,Benevento,1 - 1
1,Torino,Genoa,0 - 0
2,Napoli,Juventus,1 - 0
3,Spezia,Milan,2 - 0
4,Roma,Udinese,3 - 0
5,Cagliari,Atalanta,0 - 1
6,Sampdoria,Fiorentina,2 - 1
7,Crotone,Sassuolo,1 - 2
8,Inter,Lazio,3 - 1
9,Verona,Parma,2 - 1
