,squadra_casa,squadra_trasferta,risultato
0,Genoa,Atalanta,3 - 4
1,Spezia,Torino,4 - 1
2,Juventus,Inter,3 - 2
3,Roma,Lazio,2 - 0
4,Fiorentina,Napoli,0 - 2
5,Benevento,Crotone,1 - 1
6,Udinese,Sampdoria,0 - 1
7,Parma,Sassuolo,1 - 3
8,Milan,Cagliari,0 - 0
9,Verona,Bologna,2 - 2
