,squadra_casa,squadra_trasferta,risultato
0,Crotone,Atalanta,1 - 2
1,Inter,Parma,2 - 2
2,Bologna,Cagliari,3 - 2
3,Udinese,Milan,1 - 2
4,Spezia,Juventus,1 - 4
5,Torino,Lazio,3 - 4
6,Napoli,Sassuolo,0 - 2
7,Roma,Fiorentina,2 - 0
8,Sampdoria,Genoa,1 - 1
9,Verona,Benevento,3 - 1
