,squadra_casa,squadra_trasferta,risultato
0,Verona,Spezia,1 - 1
1,Crotone,Inter,0 - 2
2,Milan,Benevento,2 - 0
3,Lazio,Genoa,4 - 3
4,Sassuolo,Atalanta,1 - 1
5,Napoli,Cagliari,1 - 1
6,Bologna,Fiorentina,0 - 0
7,Udinese,Juventus,1 - 2
8,Sampdoria,Roma,2 - 0
9,Torino,Parma,1 - 0
