,squadra_casa,squadra_trasferta,risultato
0,Lazio,Roma,3 - 0
1,Bologna,Verona,1 - 0
2,Torino,Spezia,0 - 0
3,Sampdoria,Udinese,2 - 1
4,Napoli,Fiorentina,6 - 0
5,Crotone,Benevento,4 - 1
6,Sassuolo,Parma,1 - 1
7,Atalanta,Genoa,0 - 0
8,Inter,Juventus,2 - 0
9,Cagliari,Milan,0 - 2
