Partita,GG,NG
Bologna-Lazio,0.42664528567872406,0.5733547143212759
Salernitana-Napoli,0.41127329007326197,0.588726709926738
Atalanta-Inter,0.22389257947284835,0.7761074205271516
Milan-Udinese,0.25365660778643995,0.74634339221356
Verona-Monza,0.4273446527595077,0.5726553472404923
Cagliari-Genoa,0.5222055615211911,0.4777944384788089
Roma-Lecce,0.4700636268573898,0.5299363731426102
Fiorentina-Juventus,0.31413647511166143,0.6858635248883386
Frosinone-Empoli,0.4603769185510165,0.5396230814489835
Torino-Sassuolo,0.32147508176873973,0.6785249182312603
