Partita,V,N,P
Bologna-Lazio,0.39,0.24,0.37
Salernitana-Napoli,0.22,0.32,0.46
Atalanta-Inter,0.36,0.24,0.4
Milan-Udinese,0.64,0.21,0.15
Verona-Monza,0.3,0.35,0.35
Cagliari-Genoa,0.32,0.37,0.31
Roma-Lecce,0.46,0.29,0.25
Fiorentina-Juventus,0.31,0.25,0.44
Frosinone-Empoli,0.44,0.3,0.26
Torino-Sassuolo,0.43,0.32,0.25
